cite.key,title,year,labels,status,comment,reason
adamEffectStartHunting2016,Effect of Start of Hunting Season on Behaviour of Greylag Geese Anser anser,2016,Data,included,-,-
aikinsEvaluationLevelHuman2018,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,2018,Data,exclude,-,wrong outcome
alldredgeHumanCougarInteractionsWildlandurban2019,Human-Cougar interactions in the wildland-urban interface of Colorado's front range,2019,-,exclude,-,wrong outcome
ardila-villamizarFearUrbanLandscapes2022,Fear in urban landscapes Conspecific flock size drives escape decisions in tropical birds,2022,-,exclude,-,wrong outcome
atickemIndividualHeterogeneityUse2014,Individual Heterogeneity in Use of Human Shields by Mountain Nyala,2014,Data,exclude,"review
#example human shield effect (spatial)",wrong outcome
ausilioEnvironmentalAnthropogenicFeatures2022,Environmental and anthropogenic features mediate risk from human hunters and wolves for moose,2022,Data,exclude,#example hunting effects on wolf predation outcomes,wrong outcome
austinFlightResponsesEastern2019,Flight responses of eastern gray kangaroos to benign or harmful human behavior,2019,-,exclude,-,wrong outcome
avrilExplorationForaysJuvenile2014,Exploration forays in juvenile European hares (Lepus europaeus) Dispersal preludes or hunting-induced troubles?,2014,-,exclude,#example effect of hunting on movement of small mammals,study design
azakiLevelLocalHuman2021,Level of local human disturbance and feeding state determines escape behaviour in Eurasian Oystercatchers,2021,-,exclude,-,wrong outcome
barocasRuppellFoxMovement2022,Ruppell's fox movement and spatial behavior are influenced by topography and human activity,2022,-,exclude,-,wrong outcome
barriEffectsGroupSize2012,"Effects of group size, habitat and hunting risk on vigilance and foraging behaviour in the Lesser Rhea (Rhea pennata pennata)",2012,Data,included,-,-
bartelAgriculturalLandUse2021,Past agricultural land use affects multiple facets of ungulate antipredator behavior,2021,Data,exclude,#example effect of habitat modification on vigilance and temporal activity of roe deer,wrong exposure
bastille-rousseauLandscapescaleHabitatResponse2020,Landscape-scale habitat response of African elephants shows strong selection for foraging opportunities in a human dominated ecosystem,2020,Data,exclude,review,-
batemanDoesHumanPedestrian2014,Does human pedestrian behaviour influence risk assessment in a successful mammal urban adapter?,2014,-,exclude,-,wrong outcome
batemanSwitchingPlanChanges2014,Switching to Plan B changes in the escape tactics of two grasshopper species (Acrididae Orthoptera) in response to repeated predatory approaches,2014,-,exclude,-,wrong outcome
batemanWhoAreYou2011,"Who are you looking at? Hadeda ibises use direction of gaze, head orientation and approach speed in their risk assessment of a potential predator",2011,Data,exclude,lack of control,wrong study design
battlePREDICTORSFLIGHTBEHAVIOR2016,PREDICTORS OF FLIGHT BEHAVIOR IN RURAL AND URBAN SONGBIRDS,2016,-,exclude,-,wrong outcome
bellefleurImpactRecreationalBoat2009,The impact of recreational boat traffic on Marbled Murrelets (Brachyramphus mamoratus),2009,Data,exclude,-,wrong study design
belottiRecreationalActivitiesAffect2018,Recreational activities affect resting site selection and foraging time of Eurasian lynx (Lynx lynx),2018,Data,included,habitat selection not transcribed,non-standard measure of disturbance used
benevidesFearinducedBehaviouralModifications2019,Fear-induced behavioural modifications in damselfishes can be diver-triggered,2019,Data,included,bite rate measured totally for a given territory,-
benhaiemHuntingIncreasesVigilance2008,Hunting increases vigilance levels in roe deer and modifies feeding site selection,2008,Data,included,temporal gradient of hunting (seaon/off season),-
bensonIndividualPopulationLevel2016,Individual and population level resource selection patterns of mountain lions preying on mule deer along an urban-wildland gradient,2016,Data,exclude,lack of contrast,wrong study design
bensonSpatiotemporalVariationSelection2015,Spatiotemporal variation in selection of roads influences mortality risk for canids in an unprotected landscape,2015,-,exclude,#example effect of roads on habitat use of canids,wrong outcome
bergerFearHumanShields2007,"Fear, human shields and the redistribution of prey and predators in protected areas",2007,Data,exclude,-,wrong outcome
bergsethProtectedAreasPreserve2016,Protected areas preserve natural behaviour of a targeted fish species on coral reefs,2016,-,exclude,-,wrong outcome
bhardwajInducingFearUsing2022,Inducing fear using acoustic stimuli—A behavioral experiment on moose (Alces alces) in Sweden,2022,Data,included,-,-
bjorvikBirdFlightInitiation2015,Bird flight initiation distances in relation to distance from human settlements in a Tanzanian floodplain habitat,2015,-,exclude,-,wrong outcome
blackwellNoSingleSolution2016,No single solution application of behavioural principles in mitigating human-wildlife conflict,2016,"Review,applied",included,Animal vehicle collisions as active threat of roads,-
blackwellSocialInformationAffects2019,Social information affects Canada goose alert and escape responses to vehicle approach implications for animal-vehicle collisions,2019,-,exclude,-,wrong outcome
blankBehavioralResponsesGoitered2020,Behavioral responses of goitered gazelles to potential threats,2020,Data,exclude,#example differential response of goitered gazelles to human vs natural predator,wrong outcome
blankEscapingBehaviorGoitered2018,Escaping behavior in goitered gazelle,2018,Data,exclude,-,wrong outcome
blasiInfluenceTrammelNets2015,"Influence of Trammel Nets on the Behaviour and Spatial Distribution of Bottlenose Dolphins (Tursiops truncatus) in the Aeolian Archipelago, Southern Italy",2015,Data,exclude,#example effect of fishing on habitat use of dolphins,wrong outcome
blaskovicTemporalOverlapHuman2022,Temporal overlap of human and apex predator activity on wildlife trails and forest roads,2022,Data,exclude,-,wrong outcome
blechaHungerMediatesApex2018,Hunger mediates apex predator's risk avoidance response in wildland-urban interface,2018,Data,exclude,-,wrong outcome
blumsteinDevelopingEvolutionaryEcology2006,Developing an evolutionary ecology of fear how life history and natural history traits affect disturbance tolerance in birds,2006,Data,exclude,-,wrong study design
blumsteinFlightinitiationDistanceBirds2003,Flight-initiation distance in birds is dependent on intruder starting distance,2003,-,exclude,-,wrong outcome;
blumsteinInterspecificVariationAvian2005,Inter-specific variation in avian responses to human disturbance,2005,-,exclude,-,wrong study design
blumsteinWhatChasingBirds2019,What chasing birds can teach us about predation risk effects Past insights and future directions,2019,-,exclude,-,wrong outcome
bonnotFearDarkContrasting2020,Fear of the dark? Contrasting impacts of humans versus lynx on diel activity of roe deer across EuropeMots-cles,2020,Data,exclude,#example contrasting effects of non-hunting disturbance and lynx on temporal activity of roe deer,wrong outcome
bonnotHabitatUsePredation2013,"Habitat use under predation risk Hunting, roads and human dwellings influence the spatial behaviour of roe deer",2013,Data,exclude,#example hunting and NHD effects on herbivore space use,wrong outcome
bonnotStickTwistRoe2017,Stick or twist roe deer adjust their flight behaviour to the perceived trade-off between risk and reward,2017,Data,exclude,-,wrong study design
borowskiFactorsAffectingDeer2021,"Factors affecting deer pressure on forest regeneration The roles of forest roads, visibility and forage availability",2021,Data,exclude,-,wrong outcome
botschEffectHumanRecreation2018,Effect of human recreation on bird anti-predatory response,2018,Data,exclude,-,wrong outcome
bowersForagingGraySquirrels1996,Foraging of gray squirrels on an urban-rural gradient Use of the GUD to assess anthropogenic impact,1996,Data,exclude,-,wrong-exposure
braimohManagingHumanDisturbance2018,Managing human disturbance factors influencing flight-initiation distance of birds in a West African nature reserve,2018,Data,exclude,-,wrong outcome
brosethDisturbanceEffectsHunting2010,Disturbance effects of hunting activity in a willow ptarmigan Lagopus lagopus population,2010,-,exclude,"#example effect of hunting on movements, habitat selection of birds",wrong outcome
brownEffectHumanActivities2012,The Effect of Human Activities and Their Associated Noise on Ungulate Behavior,2012,Data,included,habituation vs human sheilds,mean and se not reported in ms
brownEvaluatingIndirectEffects2020,Evaluating Indirect Effects of Hunting on Mule Deer Spatial Behavior,2020,-,exclude,-,wrong outcome
brubakerEffectsSingleMixedSpecies2016,Effects of Single- and Mixed-Species Group Composition on the Flight Initiation Distances of Plains and Grevy's Zebras,2016,Data,exclude,-,wrong outcome
bumpBearBaitingMayExacerbate2013,Bear-Baiting May Exacerbate Wolf-Hunting Dog Conflict,2013,Data,exclude,#example conflict between hunters and wolves,wrong study design
burtonBehavioralBycatchCamera2022,Behavioral “bycatch” from camera trap surveys yields insights on prey responses to human-mediated predation risk,2022,Data,exclude,-,wrong outcome
cabreraIslandTamenessRepeatability2017,Island tameness and the repeatability of flight initiation distance in a large herbivore,2017,Data,exclude,-,wrong study design
campbellPasserineReactionsHuman2011,"Passerine reactions to human behaviour and vegetation structure in Peterborough, Canada",2011,Data,exclude,lack of control,wrong study design
cappaEffectsPoachingHabitat2017,The effects of poaching and habitat structure on anti-predator behavioral strategies A guanaco population in a high cold desert as case study,2017,-,exclude,-,wrong outcome
cappaEffectsRoadsBehaviour2017,Effects of roads on the behaviour of the largest South American artiodactyl (Lama guanicoe) in an Argentine reserve,2017,Data,included,-,-
carreiraQuestionSizeFear2020,A question of size and fear competition and predation risk perception among frugivores and predators,2020,Data,exclude,#example temporal avoidance of natural predators,wrong study design
carreteBehavioralCorrelationsAssociated2017,Behavioral Correlations Associated with Fear of Humans Differ between Rural and Urban Burrowing Owls,2017,Data,exclude,-,wrong outcome
carterSubtleCuesPredation2008,Subtle cues of predation risk starlings respond to a predator's direction of eye-gaze,2008,Data,exclude,human treatment only,wrong study design
cavalliDifferentialRiskPerception2016,Differential risk perception of rural and urban Burrowing Owls exposed to humans and dogs,2016,Data,exclude,-,wrong outcome
cavalliRoleHabituationAdjustment2018,The role of habituation in the adjustment to urban life An experimental approach with burrowing owls,2018,Data,exclude,-,wrong outcome
chanAnthropogenicNoiseAffects2010,Anthropogenic noise affects risk assessment and attention the distracted prey hypothesis,2010,Data,exclude,hyp presented in paper is difficult to separate from human sheild effect - crabs may interpret human cues as safety - keeping predators away,wrong exposure
chassagneuxShouldStayShould2020,Should I stay or should I go? Determinants of immediate and delayed movement responses of female red deer (Cervus elaphus) to drive hunts,2020,-,exclude,-,wrong outcome
chen-krausHumanLemurCoexistenceMultipleUse2022,Human-Lemur Coexistence in a Multiple-Use Landscape,2022,Data,included,"passive interactions (dogs, livestock, vehicles) also included as predictors",-
chitwoodEcologyFearUngulates2022,-,2022,review,included,-,-
ciutiEffectsHumansBehaviour2012,Effects of Humans on Behaviour of Wildlife Exceed Those of Natural Predators in a Landscape of Fear,2012,Data,included,-,wrong study design; distance from disturbance
ciutiHumanSelectionElk2012,Human selection of elk behavioural traits in a landscape of fear,2012,-,exclude,#example hunting effect on movement and space use of large herbivore,wrong outcome
clevelandLinkingElkMovement2012,Linking Elk Movement and Resource Selection to Hunting Pressure in a Heterogeneous Landscape,2012,Data,exclude,"#example effect of hunting on movement rate,  habituation to NHD",wrong outcome
clinchyFearHumanSuper2016,"Fear of the human ""Super Predator"" far exceeds the fear of large carnivores in a model mesocarnivore",2016,Data,included,-,-
colefaxEffectAnglingIntensity2016,Effect of angling intensity on feeding behaviour and community structure of subtropical reef-associated fishes,2016,Data,exclude,-,wrong outcome
